model,loop,scale,dloc,concurrence
BHZ,CT,0.0,0.0,1.4196960477961724e-20
BHZ,CT,0.01,0.0017999997570000094,0.0017999911393362592
BHZ,CT,0.02,0.0035999980560003147,0.003599991722076537
BHZ,CT,0.03,0.00539999343900239,0.005399967708686681
BHZ,CT,0.04,0.007199984448010077,0.007199928258816228
BHZ,CT,0.05,0.008999969625030755,0.008999875406498731
BHZ,CT,0.06,0.010799947512076526,0.010799790049224472
BHZ,CT,0.07,0.012599916651165407,0.012599663038852854
BHZ,CT,0.08,0.01439987558432248,0.01439949553810262
BHZ,CT,0.09,0.01619982285358113,0.01619928772740744
BHZ,CT,0.1,0.017999757000984152,0.017999028015745964
BHZ,CT,0.11,0.019799676568584973,0.019798702481420183
BHZ,CT,0.12,0.02159958009844887,0.021598314099189005
BHZ,CT,0.13,0.023399466132654076,0.023397859313500947
BHZ,CT,0.14,0.02519933321329298,0.025197332091868602
BHZ,CT,0.15,0.026999179882473353,0.026996713099253417
BHZ,CT,0.16,0.028799004682319506,0.028796010987058807
BHZ,CT,0.17,0.030598806154973443,0.030595218325182524
BHZ,CT,0.18,0.03239858284259607,0.03239433159353176
BHZ,CT,0.19,0.03419833328736834,0.03419332979053919
BHZ,CT,0.2,0.03599805603149256,0.03599221787505657
BHZ,CT,0.21,0.03779774961719334,0.03779099337103117
BHZ,CT,0.22,0.039597412586719,0.039589646374300666
BHZ,CT,0.23,0.04139704348234264,0.0413881677298316
BHZ,CT,0.24,0.04319664084636329,0.043186557230019886
BHZ,CT,0.25,0.04499620322110724,0.044984805765856284
BHZ,CT,0.26,0.046795729148929044,0.04678291102050038
BHZ,CT,0.27,0.04859521717221278,0.04858086238790748
BHZ,CT,0.28,0.05039466583337327,0.05037866174823504
BHZ,CT,0.29,0.05219407367485721,0.05217629295319175
BHZ,CT,0.3,0.053993439239144285,0.05397374957579636
BHZ,CT,0.31,0.05579276106874858,0.05577103896503171
BHZ,CT,0.32,0.05759203770621942,0.05756814862417048
BHZ,CT,0.33,0.05939126769414288,0.05936506686054027
BHZ,CT,0.34,0.06119044957514276,0.0611617960670321
BHZ,CT,0.35000000000000003,0.06298958189188182,0.06295832753298111
BHZ,CT,0.36,0.064788663187063,0.06475465371369668
BHZ,CT,0.37,0.06658769200343055,0.06655076897335922
BHZ,CT,0.38,0.0683866668837712,0.06834667162294039
BHZ,CT,0.39,0.0701855863709154,0.07014235145220064
BHZ,CT,0.4,0.07198444900773852,0.07193780812232359
BHZ,CT,0.41000000000000003,0.07378325333716183,0.07373302177973376
BHZ,CT,0.42,0.07558199790215403,0.07552800315354367
BHZ,CT,0.43,0.077380681245732,0.07732273641056174
BHZ,CT,0.44,0.07917930191096242,0.07911722328874868
BHZ,CT,0.45,0.08097785844096263,0.08091144764163245
BHZ,CT,0.46,0.08277634937890194,0.08270541488865639
BHZ,CT,0.47000000000000003,0.08457477326800275,0.08449911861645548
BHZ,CT,0.48,0.08637312865154183,0.08629254221804973
BHZ,CT,0.49,0.08817141407285145,0.08808568235241883
BHZ,CT,0.5,0.08996962807532047,0.08987854919801125
BHZ,CT,0.51,0.0917677692023957,0.09167111271794721
