Ly,loop,D_loc,ep_mean,gap_min,joint_max
6,top,0.18377412435409382,0.007542943127370561,0.4554038661297001,0.06334998551448215
6,diag,0.04870786611634267,0.000527560673312182,0.4554038661296999,0.07039766810334201
6,anti,0.3649505551418381,0.028822682200464713,0.4554038661297001,0.055162904953073744
8,top,0.1813277652181198,0.007343906759319986,0.4023893660738336,0.04625649973952119
8,diag,0.0015972987007446516,5.67854617514814e-07,0.4023893660738332,0.01704163497368389
8,anti,0.36109271055510844,0.028241622397836827,0.40238936607383347,0.04413412190834413
10,top,0.18403150861358103,0.0075618605211959684,0.42687597882943223,0.009837650319742342
10,diag,0.012088385614063953,3.2526375479127343e-05,0.4268759788294322,0.010328485956983982
10,anti,0.3676488415920521,0.029232122134763075,0.4268759788294326,0.011519317806667593
12,top,0.1842084548007771,0.00757670188296683,0.418114648604592,0.00781344572073342
12,diag,0.004890496282565054,5.323822468056229e-06,0.41811464860459113,0.006239996493185585
12,anti,0.36800149659437525,0.029285817838175174,0.41811464860459135,0.007046690540586481
